X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
0.25,0.33,0.17,0.5,2,0,0.09,0.27,0.0,0.09,0.27,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0
-0.5,0.33,-1.33,-1.0,1,1,0.38,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0
-1.67,-1.67,-1.67,-1.67,0,1,0.2,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.07,0.0,0.07,0.07,0.13,0.07
0.44,0.44,0.44,0.44,1,0,0.08,0.04,0.0,0.25,0.04,0.0,0.0,0.0,0.33,0.0,0.08,0.12,0.04,0.0
0.65,1.56,-0.25,1.31,1,1,0.31,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.15,0.0,0.08,0.15,0.0,0.0
1.33,1.33,1.33,1.33,1,0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.08,0.17,0.0,0.08,0.0,0.0,0.0
0.67,0.67,0.67,0.67,1,0,0.06,0.0,0.06,0.18,0.18,0.0,0.0,0.18,0.12,0.0,0.06,0.12,0.06,0.0
0.2,0.2,0.2,0.2,1,0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
-1.33,-1.33,-1.33,-1.33,0,1,0.38,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12
-0.2,-0.2,-0.2,-0.2,0,1,0.27,0.07,0.0,0.2,0.0,0.0,0.0,0.07,0.07,0.0,0.2,0.0,0.13,0.0
0.56,0.67,0.44,1.11,2,0,0.25,0.19,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0
0.67,0.67,0.67,0.67,1,0,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.22,0.0,0.0,0.11,0.0,0.0,0.0
0.33,0.33,0.33,0.33,1,0,0.3,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0
-0.67,-0.33,-1.0,-1.33,0,2,0.15,0.0,0.0,0.15,0.08,0.0,0.0,0.23,0.15,0.0,0.0,0.08,0.08,0.0
-2.0,-2.0,-2.0,-2.0,0,1,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.18,0.0,0.09,0.0,0.18,0.0
-0.33,-0.33,-0.33,-0.33,0,1,0.25,0.08,0.0,0.17,0.08,0.0,0.0,0.08,0.0,0.0,0.17,0.0,0.08,0.0
-1.67,-1.67,-1.67,-1.67,0,1,0.36,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.14,0.0,0.0,0.14,0.21,0.0
0.67,0.67,0.67,0.67,1,0,0.25,0.06,0.0,0.19,0.06,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.06,0.0
-1.67,-1.67,-1.67,-1.67,0,1,0.22,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.22,0.0,0.0
-0.33,0.33,-1.0,-0.67,1,1,0.28,0.22,0.0,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0
0.33,0.33,0.33,0.33,1,0,0.12,0.25,0.0,0.12,0.0,0.0,0.0,0.06,0.12,0.0,0.06,0.12,0.06,0.0
-1.22,-1.0,-1.67,-3.67,0,3,0.24,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.14,0.14,0.05,0.0
-0.33,-0.33,-0.33,-0.33,0,1,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.25,0.0
1.0,1.0,1.0,1.0,1,0,0.15,0.15,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.15,0.15,0.0
1.33,1.33,1.33,1.33,1,0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.22,0.11,0.11,0.22,0.0,0.0
0.67,1.0,0.33,2.0,3,0,0.05,0.05,0.0,0.11,0.11,0.0,0.0,0.05,0.11,0.0,0.05,0.16,0.05,0.0
2.0,2.0,2.0,2.0,1,0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0
